Class,Subnet Mask (Bin),Subnet Mask,Prefix,Total Hosts,"Total Subnets
Classful","Total Subnets
Classless"
,10000000.00000000.00000000.00000000,128.0.0.0,/1,2147483648,N/A,N/A
,11000000.00000000.00000000.00000000,192.0.0.0,/2,1073741824,N/A,N/A
,11100000.00000000.00000000.00000000,224.0.0.0,/3,536870912,N/A,N/A
,11110000.00000000.00000000.00000000,240.0.0.0,/4,268435456,N/A,N/A
,11111000.00000000.00000000.00000000,248.0.0.0,/5,134217728,N/A,N/A
,11111100.00000000.00000000.00000000,252.0.0.0,/6,67108864,N/A,N/A
,11111110.00000000.00000000.00000000,254.0.0.0,/7,33554432,N/A,N/A
Class A,11111111.00000000.00000000.00000000,255.0.0.0,/8,16777216,1,1
,11111111.10000000.00000000.00000000,255.128.0.0,/9,8388608,2,2
,11111111.11000000.00000000.00000000,255.192.0.0,/10,4194304,4,4
,11111111.11100000.00000000.00000000,255.224.0.0,/11,2097152,8,8
,11111111.11110000.00000000.00000000,255.240.0.0,/12,1048576,16,16
,11111111.11111000.00000000.00000000,255.248.0.0,/13,524288,32,32
,11111111.11111100.00000000.00000000,255.252.0.0,/14,262144,64,64
,11111111.11111110.00000000.00000000,255.254.0.0,/15,131072,128,128
Class B,11111111.11111111.00000000.00000000,255.255.0.0,/16,65536,1,256
,11111111.11111111.10000000.00000000,255.255.128.0,/17,32768,2,512
,11111111.11111111.11000000.00000000,255.255.192.0,/18,16384,4,1024
,11111111.11111111.11100000.00000000,255.255.224.0,/19,8192,8,2048
,11111111.11111111.11110000.00000000,255.255.240.0,/20,4096,16,4096
,11111111.11111111.11111000.00000000,255.255.248.0,/21,2048,32,8192
,11111111.11111111.11111100.00000000,255.255.252.0,/22,1024,64,16384
,11111111.11111111.11111110.00000000,255.255.254.0,/23,512,128,32768
Class C,11111111.11111111.11111111.00000000,255.255.255.0,/24,256,1,65536
,11111111.11111111.11111111.10000000,255.255.255.128,/25,128,2,131072
,11111111.11111111.11111111.11000000,255.255.255.192,/26,64,4,262144
,11111111.11111111.11111111.11100000,255.255.255.224,/27,32,8,524288
,11111111.11111111.11111111.11110000,255.255.255.240,/28,16,16,1048576
,11111111.11111111.11111111.11111000,255.255.255.248,/29,8,32,2097152
,11111111.11111111.11111111.11111100,255.255.255.252,/30,4,64,4194304
,11111111.11111111.11111111.11111110,255.255.255.254,/31,2,128,8388608
,11111111.11111111.11111111.11111111,255.255.255.255,/32,1,256,16777216
